GEO_id,GEO_id2,GEO_label,hh_inc_less10k,hh_inc_10_14k,hh_inc_15_24k,hh_inc_25_34k,hh_inc_35_49k,hh_inc_50_74k,hh_inc_75_99k,hh_inc_100_149k,hh_inc_150_199k,hh_inc_200k,hh_inc_median,hh_inc_mean
0500000US01001,01001,"Autauga County, Alabama",6.3,5.6,10.2,9.1,14.0,18.0,13.8,15.9,4.8,2.2,55317,72110
0500000US01003,01003,"Baldwin County, Alabama",5.6,5.7,10.6,10.7,14.2,19.1,12.1,13.0,4.4,4.7,52562,73061
0500000US01005,01005,"Barbour County, Alabama",13.4,10.3,16.0,12.0,15.4,13.2,9.9,8.2,0.9,0.8,33368,45445
0500000US01007,01007,"Bibb County, Alabama",6.2,6.3,14.8,12.2,16.5,17.4,10.4,11.1,3.7,1.3,43404,61099
0500000US01009,01009,"Blount County, Alabama",8.1,5.5,10.8,13.8,14.1,22.6,10.6,9.7,2.8,1.9,47412,58974
0500000US01011,01011,"Bullock County, Alabama",19.8,12.3,10.9,12.1,12.8,15.8,8.0,6.6,0.1,1.7,29655,42317
0500000US01013,01013,"Butler County, Alabama",10.9,9.6,17.1,10.8,15.5,15.8,10.2,7.6,1.8,0.8,36326,47812
0500000US01015,01015,"Calhoun County, Alabama",9.3,7.4,12.1,12.0,14.6,19.3,10.5,10.0,3.0,1.9,43686,58788
0500000US01017,01017,"Chambers County, Alabama",9.2,8.2,16.2,13.7,15.1,16.5,11.1,7.4,1.6,1.0,37342,51434
0500000US01019,01019,"Cherokee County, Alabama",9.8,8.0,12.7,12.7,16.0,16.9,10.9,9.0,2.3,1.8,40041,54671
0500000US01021,01021,"Chilton County, Alabama",9.9,7.7,11.0,13.2,14.0,18.9,10.9,9.8,3.2,1.4,43501,59036
0500000US01023,01023,"Choctaw County, Alabama",12.9,10.0,18.2,12.9,11.0,15.8,8.1,6.7,2.7,1.8,32122,48466
0500000US01025,01025,"Clarke County, Alabama",19.4,7.3,12.0,12.7,12.3,13.5,8.1,10.3,2.5,1.9,33827,50851
0500000US01027,01027,"Clay County, Alabama",10.1,8.7,14.9,14.7,14.4,16.0,9.6,8.3,1.5,1.8,37287,51364
0500000US01029,01029,"Cleburne County, Alabama",10.9,8.1,16.5,11.5,13.2,19.1,8.3,8.5,2.8,1.0,37396,51607
0500000US01031,01031,"Coffee County, Alabama",7.2,6.3,11.4,11.0,14.2,18.5,11.2,13.8,3.9,2.6,49821,65863
0500000US01033,01033,"Colbert County, Alabama",9.0,7.0,13.9,10.1,14.0,21.1,11.5,9.3,2.4,1.6,45477,56372
0500000US01035,01035,"Conecuh County, Alabama",13.7,12.0,18.1,11.3,16.7,16.1,5.6,5.1,0.9,0.6,30434,39554
0500000US01037,01037,"Coosa County, Alabama",7.0,11.1,15.0,17.4,16.1,16.4,8.5,3.4,3.6,1.6,34792,48059
0500000US01039,01039,"Covington County, Alabama",9.9,6.3,13.9,15.4,13.6,18.6,9.4,8.5,2.8,1.5,39467,53372
0500000US01041,01041,"Crenshaw County, Alabama",10.0,11.1,13.9,11.1,15.5,16.3,8.7,9.9,1.6,1.9,38937,52395
0500000US01043,01043,"Cullman County, Alabama",9.3,6.5,13.6,11.7,17.4,17.9,9.8,9.4,2.6,1.9,40997,55135
0500000US01045,01045,"Dale County, Alabama",10.6,6.7,13.4,9.8,15.1,19.4,9.8,10.4,3.0,1.8,44711,57087
0500000US01047,01047,"Dallas County, Alabama",18.9,8.2,17.8,12.4,12.5,11.9,7.8,7.4,1.5,1.6,30065,44023
0500000US01049,01049,"DeKalb County, Alabama",10.5,7.1,15.1,13.2,14.6,18.8,9.8,7.4,1.6,1.9,38842,52462
0500000US01051,01051,"Elmore County, Alabama",6.4,4.6,10.0,10.2,14.1,18.0,14.3,15.7,3.6,3.3,54981,71437
0500000US01053,01053,"Escambia County, Alabama",13.6,9.1,16.4,10.9,14.7,15.7,8.3,7.7,2.1,1.5,35026,48727
0500000US01055,01055,"Etowah County, Alabama",8.1,7.1,15.8,11.2,14.8,18.6,11.1,9.2,2.1,2.0,42064,55354
0500000US01057,01057,"Fayette County, Alabama",11.0,8.8,14.6,13.3,14.8,16.5,11.0,6.1,2.3,1.6,36541,50889
0500000US01059,01059,"Franklin County, Alabama",8.3,6.4,17.9,11.0,18.1,18.4,10.0,6.5,2.1,1.4,39501,50902
0500000US01061,01061,"Geneva County, Alabama",9.6,7.9,17.4,10.0,15.5,17.3,10.9,8.5,1.4,1.4,39293,51025
0500000US01063,01063,"Greene County, Alabama",22.4,16.3,15.6,9.6,12.5,13.2,4.5,3.5,1.7,0.7,20954,34525
0500000US01065,01065,"Hale County, Alabama",14.3,11.2,12.8,12.1,13.4,17.1,8.2,6.0,2.5,2.3,34679,50103
0500000US01067,01067,"Henry County, Alabama",8.2,7.5,13.3,10.9,15.5,19.5,9.1,9.9,3.8,2.2,45569,58905
0500000US01069,01069,"Houston County, Alabama",8.8,6.9,13.3,11.6,15.6,16.9,10.9,9.6,2.9,3.3,42803,61526
0500000US01071,01071,"Jackson County, Alabama",11.1,8.8,11.9,13.7,16.3,16.8,9.8,8.7,1.5,1.5,39281,50956
0500000US01073,01073,"Jefferson County, Alabama",9.0,6.0,11.4,10.6,13.4,17.0,11.1,11.9,4.6,4.9,49321,71979
0500000US01075,01075,"Lamar County, Alabama",9.8,10.3,13.6,15.0,14.8,19.2,6.2,7.8,2.2,1.3,36016,50252
0500000US01077,01077,"Lauderdale County, Alabama",7.8,6.7,13.3,11.3,16.3,18.3,11.1,9.8,2.9,2.5,44888,60437
0500000US01079,01079,"Lawrence County, Alabama",9.1,7.5,12.8,11.1,14.6,18.4,12.0,10.5,3.1,0.8,43779,55399
0500000US01081,01081,"Lee County, Alabama",12.6,6.1,11.3,9.8,12.3,16.4,11.1,12.2,4.6,3.6,47564,66708
0500000US01083,01083,"Limestone County, Alabama",7.5,5.4,11.7,10.4,12.4,18.3,11.8,13.4,5.3,4.0,52831,70378
0500000US01085,01085,"Lowndes County, Alabama",16.5,10.2,17.9,10.2,15.1,14.0,7.2,6.6,0.9,1.5,29785,44985
0500000US01087,01087,"Macon County, Alabama",18.1,7.6,16.3,10.3,14.6,14.2,8.2,6.9,3.0,0.9,32308,47570
0500000US01089,01089,"Madison County, Alabama",6.0,5.5,9.1,9.1,11.9,16.5,12.2,16.3,7.2,6.2,61318,83287
0500000US01091,01091,"Marengo County, Alabama",17.9,8.2,16.1,11.5,11.3,14.1,8.3,7.4,3.8,1.3,32255,50809
