,FIPS,State,County,Unemployment_rate_2017,Median_Household_Income_2017
2,1001,AL,Autauga County AL,3.9,58343.0
3,1003,AL,Baldwin County AL,4.1,56607.0
4,1005,AL,Barbour County AL,5.8,32490.0
5,1007,AL,Bibb County AL,4.4,45795.0
6,1009,AL,Blount County AL,4.0,48253.0
7,1011,AL,Bullock County AL,4.9,29113.0
8,1013,AL,Butler County AL,5.5,36842.0
9,1015,AL,Calhoun County AL,5.0,45937.0
10,1017,AL,Chambers County AL,4.1,36883.0
11,1019,AL,Cherokee County AL,4.1,44842.0
12,1021,AL,Chilton County AL,4.1,46405.0
13,1023,AL,Choctaw County AL,6.3,36711.0
14,1025,AL,Clarke County AL,8.5,36719.0
15,1027,AL,Clay County AL,4.3,39642.0
16,1029,AL,Cleburne County AL,4.5,45480.0
17,1031,AL,Coffee County AL,4.4,51998.0
18,1033,AL,Colbert County AL,5.2,46100.0
19,1035,AL,Conecuh County AL,6.1,30796.0
20,1037,AL,Coosa County AL,4.7,42442.0
21,1039,AL,Covington County AL,5.2,39093.0
22,1041,AL,Crenshaw County AL,4.5,38419.0
23,1043,AL,Cullman County AL,3.8,45925.0
24,1045,AL,Dale County AL,4.5,42572.0
25,1047,AL,Dallas County AL,7.5,31329.0
26,1049,AL,DeKalb County AL,4.5,39906.0
27,1051,AL,Elmore County AL,3.7,59652.0
28,1053,AL,Escambia County AL,5.0,37870.0
29,1055,AL,Etowah County AL,4.6,41791.0
30,1057,AL,Fayette County AL,4.7,39394.0
31,1059,AL,Franklin County AL,4.3,41025.0
32,1061,AL,Geneva County AL,4.3,38561.0
33,1063,AL,Greene County AL,7.6,28108.0
34,1065,AL,Hale County AL,6.0,34905.0
35,1067,AL,Henry County AL,4.9,48094.0
36,1069,AL,Houston County AL,4.4,44753.0
37,1071,AL,Jackson County AL,4.8,42658.0
38,1073,AL,Jefferson County AL,4.3,50731.0
39,1075,AL,Lamar County AL,4.2,39796.0
40,1077,AL,Lauderdale County AL,4.7,46646.0
41,1079,AL,Lawrence County AL,5.0,42912.0
42,1081,AL,Lee County AL,4.0,51372.0
43,1083,AL,Limestone County AL,4.0,57342.0
44,1085,AL,Lowndes County AL,8.3,33130.0
45,1087,AL,Macon County AL,5.8,30849.0
46,1089,AL,Madison County AL,3.9,62750.0
47,1091,AL,Marengo County AL,5.6,37469.0
48,1093,AL,Marion County AL,4.8,38049.0
49,1095,AL,Marshall County AL,3.9,42751.0
50,1097,AL,Mobile County AL,5.2,45615.0
51,1099,AL,Monroe County AL,6.7,36432.0
52,1101,AL,Montgomery County AL,4.4,45833.0
53,1103,AL,Morgan County AL,4.1,49274.0
54,1105,AL,Perry County AL,7.8,26703.0
55,1107,AL,Pickens County AL,5.4,38379.0
56,1109,AL,Pike County AL,4.9,40680.0
57,1111,AL,Randolph County AL,4.4,41112.0
58,1113,AL,Russell County AL,4.3,36186.0
59,1115,AL,St. Clair County AL,4.0,52755.0
60,1117,AL,Shelby County AL,3.2,74098.0
61,1119,AL,Sumter County AL,6.6,26495.0
62,1121,AL,Talladega County AL,5.0,41733.0
63,1123,AL,Tallapoosa County AL,4.2,44469.0
64,1125,AL,Tuscaloosa County AL,4.2,51644.0
65,1127,AL,Walker County AL,5.1,41925.0
66,1129,AL,Washington County AL,6.8,44249.0
67,1131,AL,Wilcox County AL,11.5,25700.0
