GEO_id,GEO_id2,GEO_label,hh_access,hh_access_pct,hh_computer,hh_computer_pct,hh_broadband,hh_broadband_pct
0500000US01001,1001,"Autauga County, Alabama",21054,21054,18145,86.2,16131,76.6
0500000US01003,1003,"Baldwin County, Alabama",76133,76133,66174,86.9,56741,74.5
0500000US01005,1005,"Barbour County, Alabama",9191,9191,6747,73.4,5258,57.2
0500000US01007,1007,"Bibb County, Alabama",6916,6916,5176,74.8,4286,62
0500000US01009,1009,"Blount County, Alabama",20690,20690,16175,78.2,13606,65.8
0500000US01011,1011,"Bullock County, Alabama",3670,3670,2357,64.2,1814,49.4
0500000US01013,1013,"Butler County, Alabama",7050,7050,4818,68.3,4102,58.2
0500000US01015,1015,"Calhoun County, Alabama",45099,45099,37406,82.9,32009,71
0500000US01017,1017,"Chambers County, Alabama",13694,13694,9951,72.7,8601,62.8
0500000US01019,1019,"Cherokee County, Alabama",10795,10795,8576,79.4,7286,67.5
0500000US01021,1021,"Chilton County, Alabama",16768,16768,12374,73.8,9488,56.6
0500000US01023,1023,"Choctaw County, Alabama",5463,5463,3847,70.4,2858,52.3
0500000US01025,1025,"Clarke County, Alabama",9602,9602,5635,58.7,4544,47.3
0500000US01027,1027,"Clay County, Alabama",5338,5338,4113,77.1,3522,66
0500000US01029,1029,"Cleburne County, Alabama",5773,5773,4264,73.9,3337,57.8
0500000US01031,1031,"Coffee County, Alabama",19620,19620,16494,84.1,14779,75.3
0500000US01033,1033,"Colbert County, Alabama",21983,21983,17657,80.3,14491,65.9
0500000US01035,1035,"Conecuh County, Alabama",4716,4716,2430,51.5,1920,40.7
0500000US01037,1037,"Coosa County, Alabama",4204,4204,2940,69.9,2446,58.2
0500000US01039,1039,"Covington County, Alabama",15285,15285,11329,74.1,9896,64.7
0500000US01041,1041,"Crenshaw County, Alabama",5358,5358,3778,70.5,3060,57.1
0500000US01043,1043,"Cullman County, Alabama",31097,31097,24529,78.9,20270,65.2
0500000US01045,1045,"Dale County, Alabama",18825,18825,15298,81.3,13134,69.8
