GEO_id,GEO_id2,GEO_label,pop_white,pop_black,pop_native,pop_asian,pop_pacific,pop_other,pop_total,pop_not_hispanic,pop_hispanic,pop_male,pop_female
0500000US01001,01001,"Autauga County, Alabama",42159,10510,169,516,43,719,55036,53569,1467,19468,21566
0500000US01003,01003,"Baldwin County, Alabama",175961,19414,1668,1405,0,1591,203360,194331,9029,76201,81934
0500000US01005,01005,"Barbour County, Alabama",12200,12588,54,165,0,978,26201,25097,1104,11174,9513
0500000US01007,01007,"Bibb County, Alabama",17323,4979,82,0,0,8,22580,22049,531,9617,8233
0500000US01009,01009,"Blount County, Alabama",55045,915,212,84,0,425,57667,52470,5197,21606,22469
0500000US01011,01011,"Bullock County, Alabama",2299,7925,110,73,0,2,10478,10443,35,4577,3735
0500000US01013,01013,"Butler County, Alabama",10547,9030,13,224,0,14,20126,20062,64,7006,8531
0500000US01015,01015,"Calhoun County, Alabama",86136,23735,413,1149,7,1456,115527,111406,4121,42306,47476
0500000US01017,01017,"Chambers County, Alabama",19552,13335,95,339,0,240,33895,33165,730,12604,14024
0500000US01019,01019,"Cherokee County, Alabama",24072,1287,125,50,0,51,25855,25446,409,10246,10401
0500000US01021,01021,"Chilton County, Alabama",36497,4184,254,187,0,1917,43805,40434,3371,16231,17007
0500000US01023,01023,"Choctaw County, Alabama",7456,5583,4,8,0,7,13188,13117,71,4887,5595
0500000US01025,01025,"Clarke County, Alabama",13108,11246,14,127,22,0,24625,24567,58,8899,10204
0500000US01027,01027,"Clay County, Alabama",11148,1979,120,6,0,23,13407,12990,417,5011,5539
0500000US01029,01029,"Cleburne County, Alabama",14127,424,43,81,0,51,14939,14583,356,5527,5925
0500000US01031,01031,"Coffee County, Alabama",38956,8834,542,659,0,440,51073,47671,3402,18042,19830
0500000US01033,01033,"Colbert County, Alabama",43315,8722,404,274,19,626,54435,53122,1313,20095,22597
0500000US01035,01035,"Conecuh County, Alabama",6494,5879,21,4,0,2,12649,12418,231,4696,5179
0500000US01037,01037,"Coosa County, Alabama",7165,3640,9,0,0,0,10955,10939,16,4553,4497
0500000US01039,01039,"Covington County, Alabama",31758,4937,124,158,8,77,37519,36933,586,13824,15409
0500000US01041,01041,"Crenshaw County, Alabama",9911,3271,113,194,0,141,13866,13613,253,5089,5590
0500000US01043,01043,"Cullman County, Alabama",78056,948,350,528,3,723,81703,78237,3466,30743,32555
0500000US01045,01045,"Dale County, Alabama",36202,9606,257,503,9,875,49393,46399,2994,16277,19058
