cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","9/30/2017","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","239888","1640","241528","0","241528","212777","212777","6501","87632","60341","27291","1023","102566","15055","","5246","20111","","2630","0","555","40","2035","764","","716","48","0","0","0","","275","66","2553","3948","1898",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","9/30/2017","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","83075","782","83857","0","83857","72822","72822","6826","51260","25818","25442","2728","12008","0","","0","9959","","124","0","24","83","17","952","","0","952","0","0","0","","0","0","1980","4846","782",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","9/30/2017","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/22/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","26492","555","27047","0","27047","6809","6809","0","187","0","187","0","363","6259","","15230","4285","","710","0","3","401","306","13","","0","13","0","0","0","","0","0","0","0","555",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","9/30/2017","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","88328","1077","89405","2","89407","57444","57444","4932","17095","2775","14320","0","31790","3627","","3418","4563","","23076","0","25","16645","6406","906","","403","0","503","0","0","","0","0","1097","3835","1077",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","9/30/2017","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","18481","168","18649","0","18649","7872","7872","118","2487","1860","627","0","4709","558","","1984","4766","","3968","0","0","1089","2879","59","","0","59","0","0","0","","0","0","112","6","168",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","9/30/2017","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","162052","979","163031","70","163101","162393","162393","7954","21546","16827","4719","76","132817","0","","0","192","","515","0","0","0","515","0","","0","0","0","0","0","","0","0","7737","217","979",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","9/30/2017","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","222560","2099","224659","1066","225725","192984","192984","15739","145395","73637","71758","7373","15249","9228","","2161","23834","","1183","0","243","126","814","5563","","5563","0","0","0","578","","479","0","3333","12406","2113",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","9/30/2017","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","27305","265","27570","0","27570","25424","25424","233","2232","2232","0","152","18969","3838","","470","482","","1175","0","2","279","894","19","","0","19","0","0","0","","0","0","163","70","265",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","9/30/2017","5/19/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","420211","6301","426512","0","426512","363807","363807","3255","170028","67124","102904","61773","115474","13277","","7020","50145","","3","0","0","0","3","5537","","0","5537","0","0","7020","","202","202","0","3255","5030",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","9/30/2017","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","377613","4957","382570","0","382570","352495","352495","41021","82268","52197","30071","8889","220281","36","","0","22329","","4296","0","106","3033","1157","3450","","3000","450","0","0","0","","1739","1739","41021","0","4205",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","9/30/2017","5/19/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","45523","448","45971","0","45971","30389","30389","191","4036","3459","577","0","12231","13931","","9372","4652","","1483","0","14","1065","404","75","","44","31","0","0","0","","0","0","0","191","448",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","9/30/2017","5/19/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","18","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/10/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","770199","7802","778001","0","778001","515242","515242","127253","280169","138125","142044","19417","88403","0","","47","259974","0","740","0","0","138","602","1998","","0","33","1965","0","0","0","3538","3538","101244","26009","7802",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","9/30/2017","5/19/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","83224","1041","84265","14","84279","69502","69502","0","23632","9400","14232","23331","22539","0","","0","14723","","54","0","0","0","54","0","","0","0","0","0","0","","1166","1017","0","0","991",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","9/30/2017","5/19/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","32878","394","33272","4","33276","31101","31101","0","10318","2806","7512","12252","8531","0","","0","2066","","109","0","0","0","109","0","","0","0","0","0","0","","0","0","0","0","387",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","9/30/2017","5/19/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","501143","27727","528870","0","528870","13897","13897","13076","611","0","611","0","168","42","0","6697","1021","0","505105","502712","0","241","2152","2150","0","366","1655","129","0","690","0","15221","15195","13076","0","7756","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","9/30/2017","5/19/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","114767","1040","115807","0","115807","111714","111714","10682","27848","7128","20720","6468","66716","0","","0","3156","","880","0","176","358","346","57","","57","0","0","0","0","","0","0","8106","2576","1196",""
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","9/30/2017","5/19/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","12","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/14/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","818922","10599","829521","1122","830643","507095","507095","129560","64014","32014","32000","43408","270113","0","","0","71475","0","201593","0","1280","369","199944","50480","","0","50480","0","0","35410","0","56","0","105730","23830","10096",""
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","9/30/2017","5/19/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","4354346","93372","4447718","0","4447718","1438535","1438535","78432","642164","390199","251965","34094","567454","116391","","32974","2620013","111875","128084","0","27864","44505","55715","228112","","2466","21518","204128","0","13967","0","353","0","7477","70955","63514",""
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","9/30/2017","5/19/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststatebk.com","174952","2847","177799","18","177817","103001","103001","7982","70854","52438","18416","1274","22891","0","","0","72583","","1099","15","129","144","811","1134","","1129","5","0","0","0","","0","0","858","7124","2602",""
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","9/30/2017","5/19/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","10689","170","10859","0","10859","5917","5917","0","739","277","462","0","4499","679","","1581","440","","2921","0","24","1999","898","0","","0","0","0","0","0","","0","0","0","0","155",""
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","9/30/2017","5/19/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","497064","5922","502986","0","502986","380712","380712","24135","106112","74304","31808","10339","238800","1326","","321","73939","0","29507","3288","1718","13555","10946","18508","","18254","254","0","0","0","0","1357","1357","6220","17915","5922",""
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","9/30/2017","5/19/2019","NM","24 Commerce Drive","","5","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/15/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","197397","1593","198990","13","199003","150267","150267","14539","86020","66715","19305","5613","42453","1642","","640","41391","","5058","0","560","1254","3244","1647","","0","1647","0","0","0","","292","292","2460","12079","1593",""
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","9/30/2017","5/19/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","76841","270","77111","0","77111","54121","54121","6882","25058","22822","2236","873","18210","3098","","4491","14710","","3694","0","324","746","2624","95","","0","95","0","0","0","","917","823","4060","2822","270",""
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","9/30/2017","5/19/2019","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","319285","1792","321077","0","321077","250076","250076","10982","144330","98937","45393","55226","38345","1193","","389","68405","","935","0","77","100","758","1272","","541","731","0","0","0","","568","500","7241","3741","1792",""
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","9/30/2017","5/19/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","4","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","139152","1495","140647","525","141172","126308","126308","15338","78047","41636","36411","3358","29565","0","","216","13815","","824","0","108","217","499","9","","0","4","5","0","0","","752","752","4214","11124","1495",""
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","9/30/2017","5/19/2019","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","1/23/2019","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","105227","796","106023","0","106023","105922","105922","0","4868","3419","1449","1782","99272","0","","0","21","","80","0","0","0","80","0","","0","0","0","0","21","","1694","495","0","0","796",""
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","9/30/2017","5/19/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","137919","1861","139780","0","139780","99507","99507","4204","41952","20780","21172","5255","39463","8633","","7004","28842","","4416","0","2990","129","1297","11","","0","11","0","0","0","","894","675","1133","3071","1694",""
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","9/30/2017","5/19/2019","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","236778","2414","239192","15","239207","239013","239013","0","63771","630","63141","36900","138342","0","","0","28","","166","164","0","0","2","0","","0","0","0","0","0","","1187","0","0","0","2219",""
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","9/30/2017","5/19/2019","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","41308","567","41875","0","41875","41808","41808","17805","0","0","0","0","24003","0","","0","0","","67","0","0","0","67","0","","0","0","0","0","0","","319","0","16994","811","515",""
